Commod_dsc,lon,lat,State,Area_ha,code,region,annual_temp,annual_rain,annual_solar,area,businesses,yield
grapes wine,148.004081372654,-35.7076474765176,NSW,6.5257,113021260,Tumbarumba,10.5079202651978,1029.05004882812,16.8721599578857,192.09,9.41,8.55
grapes wine,148.147094455461,-35.8622767477561,NSW,1.57008,113021260,Tumbarumba,11.680419921875,1009.07202148438,16.7381801605225,192.09,9.41,8.55
grapes wine,148.003336003467,-35.7084389530592,NSW,1.8697,113021260,Tumbarumba,10.5079202651978,1029.05004882812,16.8721599578857,192.09,9.41,8.55
grapes wine,150.226596139295,-34.605398599557,NSW,1.65534,114021289,Southern Highlands,12.7916698455811,1022.25897216797,16.0945091247559,73.3,3.92,4.95
grapes wine,149.968427335098,-36.3972843008028,NSW,1.62434,101041020,Bega-Eden Hinterland,15.0500001907349,1026.38305664062,15.6961297988892,3.22,1.29,0.8
grapes wine,149.694826789835,-32.6798543689879,NSW,2.23594,103031074,Mudgee Region - West,13.4583301544189,684.869873046875,18.0114593505859,441.98,20.15,4.43
grapes wine,151.320079681081,-32.7113071416372,NSW,5.78736,106011107,Branxton - Greta - Pokolbin,17.3637504577637,769.380493164062,16.929500579834,1019.24,33.65,3.7
grapes wine,151.320002255952,-32.8092433360043,NSW,0.502498,106011107,Branxton - Greta - Pokolbin,16.2679195404053,802.129821777344,16.7499599456787,1019.24,33.65,3.7
grapes wine,151.318707149796,-32.8085977253673,NSW,0.209574,106011107,Branxton - Greta - Pokolbin,16.2679195404053,802.129821777344,16.7499599456787,1019.24,33.65,3.7
grapes wine,151.319638159822,-32.8078060779819,NSW,0.872501,106011107,Branxton - Greta - Pokolbin,16.2679195404053,802.129821777344,16.7499599456787,1019.24,33.65,3.7
grapes wine,151.316743890334,-32.8079726556135,NSW,1.23813,106011107,Branxton - Greta - Pokolbin,16.2679195404053,802.129821777344,16.7499599456787,1019.24,33.65,3.7
grapes wine,151.509064171486,-29.0581049729922,NSW,3.22563,110021194,Tenterfield,17.7912502288818,713.809997558594,19.2892894744873,57.23,4.6,9.97
grapes wine,151.505188799054,-29.0577239941067,NSW,1.20984,110021194,Tenterfield,17.7912502288818,713.809997558594,19.2892894744873,57.23,4.6,9.97
grapes wine,151.507384676064,-29.059288232155,NSW,0.342715,110021194,Tenterfield,17.7912502288818,713.809997558594,19.2892894744873,57.23,4.6,9.97
grapes wine,138.83474027829,-34.4587005972432,SA,4.23608,405011111,Light,15.8241701126099,472.735900878906,17.6903800964355,3288.74,67.58,6.87
grapes wine,138.86151876006,-34.6368441996328,SA,8.08628,405011112,Lyndoch,15.1216697692871,601.559875488281,17.4692401885986,1485.9,40.24,7.84
grapes wine,138.962334191735,-34.5312394465333,SA,0.325617,405011115,Tanunda,15.1241703033447,526.481079101562,17.6467704772949,1120.22,35.79,4.94
grapes wine,139.021041522314,-34.574627311421,SA,23.8697,405011110,Barossa - Angaston,13.1445798873901,681.698791503906,17.6111297607422,2338.42,84.14,6.77
grapes wine,139.050256941795,-34.5541739859247,SA,8.04794,405011110,Barossa - Angaston,14.2441701889038,613.942077636719,17.747049331665,2338.42,84.14,6.77
grapes wine,139.037354773781,-34.5200685192115,SA,2.75275,405011110,Barossa - Angaston,14.4783296585083,556.27978515625,17.8206691741943,2338.42,84.14,6.77
grapes wine,138.874647302855,-34.5249104765587,SA,5.1847,405011111,Light,15.9308300018311,467.171997070312,17.6212902069092,3288.74,67.58,6.87
grapes wine,139.062870605525,-34.497255601332,SA,1.264,405011110,Barossa - Angaston,14.3887500762939,556.27978515625,17.8206691741943,2338.42,84.14,6.77
grapes wine,139.014094914213,-34.4750808427843,SA,35.4072,405011114,Nuriootpa,14.9620800018311,516.404724121094,17.7707405090332,1447.49,52.25,7.06
